Raw Weather Data for La Canada Flintridge, CA
	Maximum Wind Gust
Date	(knots)	Station Used
1979-05-09	26.0	BURBANK-GLENDALE-PAS
1979-10-21	22.0	BURBANK-GLENDALE-PAS
1979-10-29	35.0	BURBANK-GLENDALE-PAS
1979-11-19	29.0	MOUNT WILSON
1979-11-20	35.0	MOUNT WILSON
1979-12-11	22.0	BURBANK-GLENDALE-PAS
1979-12-12	35.0	BURBANK-GLENDALE-PAS
1979-12-22	22.0	BURBANK-GLENDALE-PAS
1979-12-24	24.0	BURBANK-GLENDALE-PAS
1979-12-25	24.0	MOUNT WILSON
1979-12-26	24.0	BURBANK-GLENDALE-PAS
1980-01-20	28.0	BURBANK-GLENDALE-PAS
1980-01-29	24.0	BURBANK-GLENDALE-PAS
1980-02-07	29.0	BURBANK-GLENDALE-PAS
1980-02-08	19.0	MOUNT WILSON
1980-02-16	29.0	BURBANK-GLENDALE-PAS
1980-02-17	29.0	BURBANK-GLENDALE-PAS
1980-02-18	22.0	BURBANK-GLENDALE-PAS
1980-03-02	24.0	BURBANK-GLENDALE-PAS
1980-04-01	17.0	BURBANK-GLENDALE-PAS
1980-04-12	29.0	BURBANK-GLENDALE-PAS
1980-10-15	29.0	BURBANK-GLENDALE-PAS
1980-10-28	24.0	BURBANK-GLENDALE-PAS
1980-11-15	24.0	MOUNT WILSON
1980-11-16	24.0	BURBANK-GLENDALE-PAS
1980-11-24	29.0	MOUNT WILSON
1981-03-04	22.0	BURBANK-GLENDALE-PAS
1981-03-05	31.0	BURBANK-GLENDALE-PAS
1981-03-14	24.0	BURBANK-GLENDALE-PAS
1981-04-28	29.0	MOUNT WILSON
1981-06-03	24.0	MOUNT WILSON
1981-06-14	29.0	BURBANK-GLENDALE-PAS
1981-06-15	24.0	BURBANK-GLENDALE-PAS
1981-11-25	19.0	BURBANK-GLENDALE-PAS
1981-12-22	22.0	BURBANK-GLENDALE-PAS
1981-12-27	29.0	MOUNT WILSON
1982-01-05	24.0	MOUNT WILSON
1982-01-07	24.0	BURBANK-GLENDALE-PAS
1982-01-20	28.0	BURBANK-GLENDALE-PAS
1982-01-29	44.0	MOUNT WILSON
1982-01-30	19.0	MOUNT WILSON
1982-03-14	24.0	BURBANK-GLENDALE-PAS
1982-03-29	29.0	MOUNT WILSON
1982-04-21	29.0	MOUNT WILSON
1982-05-12	19.0	MOUNT WILSON
1982-06-29	19.0	MOUNT WILSON
1982-11-30	44.0	MOUNT WILSON
1982-12-01	19.0	MOUNT WILSON
1982-12-02	24.0	BURBANK-GLENDALE-PAS
1982-12-08	49.0	BURBANK-GLENDALE-PAS
1982-12-09	29.0	MOUNT WILSON
1982-12-22	29.0	MOUNT WILSON
1982-12-23	35.0	MOUNT WILSON
