Raw Weather Data for La Canada Flintridge, CA
	Maximum Wind Gust
Date	(knots)	Station Used
1982-12-24	39.0	MOUNT WILSON
1982-12-30	29.0	MOUNT WILSON
1982-12-31	24.0	MOUNT WILSON
1983-01-10	39.0	MOUNT WILSON
1983-01-11	35.0	MOUNT WILSON
1983-01-20	24.0	MOUNT WILSON
1983-01-29	39.0	BURBANK-GLENDALE-PAS
1983-02-02	24.0	MOUNT WILSON
1983-02-08	35.0	MOUNT WILSON
1983-02-10	19.0	BURBANK-GLENDALE-PAS
1983-02-27	44.0	MOUNT WILSON
1983-02-28	24.0	MOUNT WILSON
1983-03-02	24.0	BURBANK-GLENDALE-PAS
1983-03-18	39.0	MOUNT WILSON
1983-03-24	29.0	MOUNT WILSON
1983-03-25	35.0	MOUNT WILSON
1983-03-26	35.0	MOUNT WILSON
1983-03-31	29.0	MOUNT WILSON
1983-04-01	35.0	MOUNT WILSON
1983-04-03	29.0	BURBANK-GLENDALE-PAS
1983-04-04	44.0	MOUNT WILSON
1983-04-06	35.0	MOUNT WILSON
1983-04-18	59.0	MOUNT WILSON
1983-04-21	24.0	MOUNT WILSON
1983-05-02	24.0	MOUNT WILSON
1983-05-11	35.0	MOUNT WILSON
1983-05-14	31.0	MOUNT WILSON
1983-05-17	39.0	MOUNT WILSON
1983-09-30	35.0	MOUNT WILSON
1983-10-01	39.0	MOUNT WILSON
1983-10-25	29.0	MOUNT WILSON
1983-11-20	29.0	MOUNT WILSON
1983-11-25	35.0	MOUNT WILSON
1983-12-09	19.0	MOUNT WILSON
1983-12-14	49.0	MOUNT WILSON
1983-12-25	55.0	MOUNT WILSON
1984-01-02	29.0	BURBANK-GLENDALE-PAS
1984-01-26	49.0	MOUNT WILSON
1984-02-10	25.0	BURBANK-GLENDALE-PAS
1984-02-14	20.0	BURBANK-GLENDALE-PAS
1984-02-17	40.0	MOUNT WILSON
1984-03-05	25.0	BURBANK-GLENDALE-PAS
1984-03-27	25.0	MOUNT WILSON
1984-03-31	25.0	MOUNT WILSON
1984-04-19	25.0	BURBANK-GLENDALE-PAS
1984-04-20	24.0	BURBANK-GLENDALE-PAS
1984-04-26	35.0	MOUNT WILSON
1984-04-28	25.0	MOUNT WILSON
1984-05-03	28.0	MOUNT WILSON
1984-05-05	40.0	MOUNT WILSON
1984-09-30	35.0	MOUNT WILSON
1984-10-17	25.0	MOUNT WILSON
1984-10-25	25.0	MOUNT WILSON
1984-11-13	25.0	BURBANK-GLENDALE-PAS
1984-11-23	25.0	MOUNT WILSON
1984-11-24	25.0	MOUNT WILSON
1984-11-25	35.0	MOUNT WILSON
1984-11-28	29.0	MOUNT WILSON
1984-11-29	29.0	MOUNT WILSON
1984-12-11	22.0	MOUNT WILSON
1984-12-16	40.0	MOUNT WILSON
1984-12-18	35.0	MOUNT WILSON
1984-12-19	29.0	BURBANK-GLENDALE-PAS
1985-01-01	35.0	MOUNT WILSON
1985-01-03	25.0	MOUNT WILSON
1985-01-12	49.0	MOUNT WILSON
1985-01-13	55.0	MOUNT WILSON
1985-01-31	20.0	MOUNT WILSON
1985-03-02	35.0	MOUNT WILSON
1985-03-19	29.0	MOUNT WILSON
1985-03-28	25.0	MOUNT WILSON
1985-03-29	25.0	BURBANK-GLENDALE-PAS
1985-04-16	35.0	MOUNT WILSON
1985-04-17	25.0	MOUNT WILSON
1985-04-24	22.0	BURBANK-GLENDALE-PAS
1985-04-25	35.0	MOUNT WILSON
1985-04-26	45.0	MOUNT WILSON
1985-04-27	25.0	MOUNT WILSON
1985-05-08	25.0	MOUNT WILSON
1985-06-25	20.0	MOUNT WILSON
1985-07-02	20.0	MOUNT WILSON
1985-08-17	25.0	MOUNT WILSON
